所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
营销管理（潜在客户管理）,验证潜在客户名称为空能否保存成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：
成功几率：50
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，并给出友好提示，客户名称不能为空,中等,功能测试
营销管理（潜在客户管理）,验证潜在客户名称输入不存在的客户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：叶红
成功几率：50
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，并给出友好提示，客户名称不想存在,中等,功能测试
营销管理（潜在客户管理）,验证输入已添加潜在用户的客户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：客户三
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，该用户已经是潜在客户,中等,功能测试
营销管理（潜在客户管理）,验证成功率为空能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，给出提示成功率不能为空,中等,功能测试
营销管理（潜在客户管理）,验证成功率为负数能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：-1
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败并给出提示，成功率格式错误,中等,功能测试
营销管理（潜在客户管理）,验证成功1率为200能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：200
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败并给出提示，成功率格式错误,中等,功能测试
营销管理（潜在客户管理）,验证成功率输入汉字是否能正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：订单
联系人：王涛
1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：-1
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

创建人：admin
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，应给出相应提示，成功率格式错误,中等,功能测试
营销管理（潜在客户管理）,验证成功率输入英文是否能正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：abc
联系人：王涛
1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：-1
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

创建人：admin
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，并给出友好提示，成功率格式错误,中等,功能测试
营销管理（潜在客户管理）,验证联系为空能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：50
联系人：
联系电话：15182632544
创建人：admin
客户来源：打电话
潜在客户描述：爱打游戏

",添加成功,中等,功能测试
营销管理（潜在客户管理）,验证联系人输入框输入特殊字符,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：50
联系人：*&￥#
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败,中等,功能测试
